# single words - nimi pu
uFFA27	supa^lape	# supa lape, stacked
uFFA28	supa-lawa	# supa lawa, stacked
uFFA28	supa+lawa	# supa lawa, stacked
uFFA28	supa^lawa	# supa lawa, stacked
uFFA29	supa-lupa	# supa lupa, stacked
uFFA29	supa+lupa	# supa lupa, stacked
uFFA29	supa^lupa	# supa lupa, stacked
uFFA2A	supa-moku	# supa moku, stacked
uFFA2A	supa+moku	# supa moku, stacked
uFFA2A	supa^moku	# supa moku, stacked
uFFA2B	supa-monsi	# supa monsi, stacked
uFFA2B	supa+monsi	# supa monsi, stacked
uFFA2B	supa^monsi	# supa monsi, stacked
uFFA2C	supa-pali	# supa pali, stacked
uFFA2C	supa+pali	# supa pali, stacked
uFFA2C	supa^pali	# supa pali, stacked
uFFA2D	telo-lete	# telo lete, scaled
uFFA2D	telo+lete	# telo lete, scaled
uFFA2D	telo*lete	# telo lete, scaled
uFFA2E	telo-lili	# telo lili, scaled
uFFA2E	telo+lili	# telo lili, scaled
uFFA2E	telo*lili	# telo lili, scaled
uFFD0C	telo-sitelen	# telo sitelen, scaled
uFFD0C	telo+sitelen	# telo sitelen, scaled
uFFD0C	telo*sitelen	# telo sitelen, scaled
uFFD03	tenpo-ni	# tenpo ni, stacked
uFFD03	tenpo+ni	# tenpo ni, stacked
uFFD03	tenpo^ni	# tenpo ni, stacked
uFFA2F	toki-ala	# toki ala, scaled
uFFA2F	toki+ala	# toki ala, scaled
uFFA2F	toki*ala	# toki ala, scaled
uFFA30	toki-ike	# toki ike, scaled
uFFA30	toki+ike	# toki ike, scaled
uFFA30	toki*ike	# toki ike, scaled
uFFA31	toki-pona	# toki pona, scaled
uFFA31	toki+pona	# toki pona, scaled
uFFA31	toki*pona	# toki pona, scaled
uFFA32	toki-sin	# toki sin, scaled
uFFA32	toki+sin	# toki sin, scaled
uFFA32	toki*sin	# toki sin, scaled
uFFA33	toki-sona	# toki sona, scaled
uFFA33	toki+sona	# toki sona, scaled
uFFA33	toki*sona	# toki sona, scaled
uFFA34	toki-utala	# toki utala, scaled
uFFA34	toki+utala	# toki utala, scaled
uFFA34	toki*utala	# toki utala, scaled
uFFA35	tomo-lape	# tomo lape, scaled
uFFA35	tomo+lape	# tomo lape, scaled
uFFA35	tomo*lape	# tomo lape, scaled
uFFA36	tomo-mani	# tomo mani, scaled
uFFA36	tomo+mani	# tomo mani, scaled
uFFA36	tomo*mani	# tomo mani, scaled
uFFA37	tomo-moku	# tomo moku, scaled
uFFA37	tomo+moku	# tomo moku, scaled
uFFA37	tomo*moku	# tomo moku, scaled
uFFA38	tomo-monsuta	# tomo monsuta, scaled
uFFA38	tomo+monsuta	# tomo monsuta, scaled
uFFA38	tomo*monsuta	# tomo monsuta, scaled
uFFA39	tomo-nasin	# tomo nasin, scaled
uFFA39	tomo+nasin	# tomo nasin, scaled
uFFA39	tomo*nasin	# tomo nasin, scaled
uFFD04	tomo-ni	# tomo ni, stacked
uFFD04	tomo+ni	# tomo ni, stacked
uFFD04	tomo^ni	# tomo ni, stacked
uFFA3A	tomo-pali	# tomo pali, scaled
uFFA3A	tomo+pali	# tomo pali, scaled
uFFA3A	tomo*pali	# tomo pali, scaled
uFFA3B	tomo-sona	# tomo sona, scaled
uFFA3B	tomo+sona	# tomo sona, scaled
uFFA3B	tomo*sona	# tomo sona, scaled
uFFA3C	tomo-tawa	# tomo tawa, scaled
uFFA3C	tomo+tawa	# tomo tawa, scaled
uFFA3C	tomo*tawa	# tomo tawa, scaled
uFFA3D	tomo-unpa	# tomo unpa, scaled
uFFA3D	tomo+unpa	# tomo unpa, scaled
uFFA3D	tomo*unpa	# tomo unpa, scaled
uFFA3E	tomo-utala	# tomo utala, scaled
uFFA3E	tomo+utala	# tomo utala, scaled
uFFA3E	tomo*utala	# tomo utala, scaled
uFFBE5	tonsi-ike	# tonsi ike, scaled
uFFBE5	tonsi+ike	# tonsi ike, scaled
uFFBE5	tonsi*ike	# tonsi ike, scaled
uFFBE6	tonsi-lili	# tonsi lili, scaled
uFFBE6	tonsi+lili	# tonsi lili, scaled
uFFBE6	tonsi*lili	# tonsi lili, scaled
uFFBE7	tonsi-pona	# tonsi pona, scaled
uFFBE7	tonsi+pona	# tonsi pona, scaled
uFFBE7	tonsi*pona	# tonsi pona, scaled
uFFBE8	tonsi-sama	# tonsi sama, scaled
uFFBE8	tonsi+sama	# tonsi sama, scaled
uFFBE8	tonsi*sama	# tonsi sama, scaled
uFFBE9	tonsi-sin	# tonsi sin, scaled
uFFBE9	tonsi+sin	# tonsi sin, scaled
uFFBE9	tonsi*sin	# tonsi sin, scaled
uFFBEA	tonsi-unpa	# tonsi unpa, scaled
uFFBEA	tonsi+unpa	# tonsi unpa, scaled
uFFBEA	tonsi*unpa	# tonsi unpa, scaled
uFFBEB	tonsi-wawa	# tonsi wawa, scaled
uFFBEB	tonsi+wawa	# tonsi wawa, scaled
uFFBEB	tonsi*wawa	# tonsi wawa, scaled
uFFA45	tu-luka	# tu luka, horizontal
uFFA45	tu+luka	# tu luka, horizontal
uFFA3F	tu-tu	# tu tu, horizontal
uFFA3F	tu+tu	# tu tu, horizontal
uFFA40	tu-wan	# tu wan, horizontal
uFFA40	tu+wan	# tu wan, horizontal
uFFD0D	walo-jelo	# walo jelo, combined
uFFD0D	walo+jelo	# walo jelo, combined
uFFD0E	walo-laso	# walo laso, combined
uFFD0E	walo+laso	# walo laso, combined
uFFD0F	walo-loje	# walo loje, combined
uFFD0F	walo+loje	# walo loje, combined
uFFBEC	walo-pimeja	# walo pimeja, scaled
uFFBEC	walo+pimeja	# walo pimeja, scaled
uFFBEC	walo*pimeja	# walo pimeja, scaled
uFFA43	wan-luka	# wan luka, horizontal
uFFA43	wan+luka	# wan luka, horizontal
uFFA41	wan-tu	# wan tu, horizontal
uFFA41	wan+tu	# wan tu, horizontal
uFFBED	wawa-tenpo	# wawa tenpo, scaled
uFFBED	wawa+tenpo	# wawa tenpo, scaled
uFFBED	wawa*tenpo	# wawa tenpo, scaled

# compounds of three or more words
# stacking and scaling joiners do not apply here
uFFBFF	ijo-ni-li-seme	# ijo ni li seme
uFFBFF	ijo+ni+li+seme	# ijo ni li seme
uFFA4F	luka-luka-luka	# luka luka luka
uFFA4F	luka+luka+luka	# luka luka luka
uFFBC8	luka-luka-luka-tu	# luka luka luka tu
uFFBC8	luka+luka+luka+tu	# luka luka luka tu
uFFBC9	luka-luka-luka-tu-tu	# luka luka luka tu tu
uFFBC9	luka+luka+luka+tu+tu	# luka luka luka tu tu
uFFBCA	luka-luka-luka-tu-wan	# luka luka luka tu wan
uFFBCA	luka+luka+luka+tu+wan	# luka luka luka tu wan
uFFBCB	luka-luka-luka-wan	# luka luka luka wan
uFFBCB	luka+luka+luka+wan	# luka luka luka wan
uFFBCC	luka-luka-luka-wan-tu	# luka luka luka wan tu
uFFBCC	luka+luka+luka+wan+tu	# luka luka luka wan tu
uFFA4B	luka-luka-tu	# luka luka tu
uFFA4B	luka+luka+tu	# luka luka tu
uFFA4E	luka-luka-tu-tu	# luka luka tu tu
uFFA4E	luka+luka+tu+tu	# luka luka tu tu
uFFA4C	luka-luka-tu-wan	# luka luka tu wan
uFFA4C	luka+luka+tu+wan	# luka luka tu wan
uFFA4A	luka-luka-wan	# luka luka wan
uFFA4A	luka+luka+wan	# luka luka wan
uFFA4D	luka-luka-wan-tu	# luka luka wan tu
uFFA4D	luka+luka+wan+tu	# luka luka wan tu
uFFA48	luka-tu-tu	# luka tu tu
uFFA48	luka+tu+tu	# luka tu tu
uFFA46	luka-tu-wan	# luka tu wan
uFFA46	luka+tu+wan	# luka tu wan
uFFA47	luka-wan-tu	# luka wan tu
uFFA47	luka+wan+tu	# luka wan tu
