# single words - nimi pu
uFFD3D	Jonatan	# jan Jonatan
uFFD3E	Jules	# Jules
uFFD3F	Kemu	# jan Kemu
uFFD40	Kepi	# jan Kepi (Kirby)
uFFD41	Kijan	# Kijan
uFFD42	Koko	# jan Koko
uFFD43	Lewi	# jan Lewi
uFFD44	Luke	# jan Luke
uFFD45	Luna	# jan Luna
uFFD46	Maki	# jan Maki
uFFD47	Mako	# jan Mako
uFFD48	Mekuwi	# jan Mekuwi
uFFD49	Mila	# jan Mila
uFFD4A	Mimuki	# ilo Mimuki
uFFD4B	motan	# motan
uFFD4C	Nalasuni	# akesi kon Nalasuni
uFFD4D	nano	# nano
uFFD4E	Niko	# jan Niko
uFFD4F	Nlsn	# akesi kon Nalasuni
uFFD50	Opa	# jan Opa
uFFD51	Palensi	# jan Palensi
uFFD52	Pami	# jan Pami
uFFD53	Poman	# jan Poman
uFFD54	Sijala	# jan Sijala
uFFD55	Silani	# jan Silani
uFFD56	Siwan	# jan Siwan
uFFD57	Temi	# jan Temi
uFFD58	Tensi	# jan Tensi
uFFD59	Tonyu	# kala pona Tonyu
uFFD5A	Usawi	# jan Usawi
uFFD5B	Vriska	# Vriska
uFFD5C	Waje	# jan Waje
uFFD5D	Wen	# waso Wen

# names of communities
uFFBF2	Linku	# kulupu Linku
uFFBF3	lipu+Wesi+pi+toki+pona	# lipu Wesi pi toki pona
uFFBF1	ma+pi+nasin+sitelen	# ma pi nasin sitelen
uFFBF0	ma+pona+pi+toki+pona	# ma pona pi toki pona
uFFDE5	ma+toki+pona+wile+jan	# Ma Toki Pona VR
uFFDE5	ma+toki+pona+VR	# Ma Toki Pona VR
uFFDE6	pali+pali+ale+pona+epiku	# pali Pape (Project Babel)
uFFDE6	pali+Pape	# pali Pape (Project Babel)
uFFDE7	Seka	# ma Seka

# names of other things
uFFDE8	Losupan	# Losupan (Lojban)
uFFDE9	Towan	# Towan (Toaq)
uFF1E0	Votgil	# Votgil (I'm a bit excited)
uFFDEA	suno+pi+toki+pona	# suno pi toki pona
uFFDEB	Wakalito	# Wakalito
uFFB9D	juniko	# juniko (Unicode)
uFFB9D	Juniko	# Juniko (Unicode)
uFFB9F	jusijesuwa	# jusijesuwa (UCSUR)
uFFB9F	Jusijesuwa	# Jusijesuwa (UCSUR)
uFFB9F	jusisa	# jusisa (UCSUR)
uFFB9F	Jusisa	# Jusisa (UCSUR)
uFFB9E	sijesuwa	# sijesuwa (CSUR)
uFFB9E	Sijesuwa	# Sijesuwa (CSUR)
uFFB9E	sisa	# sisa (CSUR)
uFFB9E	Sisa	# Sisa (CSUR)
uFFB9C	nasulin	# nasulin (Touhou hijack)
uFFB9C	Nasulin	# Nasulin (Touhou hijack)
uFFBFC	Amanka	# Amanka (Among Us)
uFFBFC	Amonka	# Amonka (Among Us)
uFFBFD	Manka	# Manka (Minecraft)
uFFBFE	Nutan	# Nutan (Newton)
uFFBF9	sitelen+seli+kiwen	# sitelen seli kiwen

# punctuation and format controls
uF1990	[	# start of cartouche
uF1991	]	# end of cartouche
uF1997	(	# start of extended glyph
uF1998	)	# end of extended glyph
uF199A	{	# start of reverse extended glyph
uF199B	}	# end of reverse extended glyph
uF199C	..	# interpunct
uF199D	::	# colon

# compounds of two words
# stacking and scaling joiners should be included
# unless the only orientation is horizontal
uFF900	anpa-lawa	# anpa lawa, stacked
uFF900	anpa+lawa	# anpa lawa, stacked
uFF900	anpa^lawa	# anpa lawa, stacked
uFF901	ijo-akesi	# ijo akesi, scaled
uFF901	ijo+akesi	# ijo akesi, scaled
uFF901	ijo*akesi	# ijo akesi, scaled
uFF901	ijo-akesi1	# ijo akesi, scaled
uFF901	ijo+akesi1	# ijo akesi, scaled
uFF901	ijo*akesi1	# ijo akesi, scaled
uFF901	ijo-akesi2	# ijo akesi, scaled
uFF901	ijo+akesi2	# ijo akesi, scaled
uFF901	ijo*akesi2	# ijo akesi, scaled
uFF902	ijo-ala	# ijo ala, scaled
uFF902	ijo+ala	# ijo ala, scaled
uFF902	ijo*ala	# ijo ala, scaled
uFF903	ijo-alasa	# ijo alasa, scaled
uFF903	ijo+alasa	# ijo alasa, scaled
uFF903	ijo*alasa	# ijo alasa, scaled
uFF904	ijo-ale	# ijo ale, synonym of ijo ali, scaled
uFF904	ijo+ale	# ijo ale, synonym of ijo ali, scaled
uFF904	ijo*ale	# ijo ale, synonym of ijo ali, scaled
uFF904	ijo-ali	# ijo ali, synonym of ijo ale, scaled
uFF904	ijo+ali	# ijo ali, synonym of ijo ale, scaled
uFF904	ijo*ali	# ijo ali, synonym of ijo ale, scaled
uFF905	ijo-anpa	# ijo anpa, scaled
uFF905	ijo+anpa	# ijo anpa, scaled
uFF905	ijo*anpa	# ijo anpa, scaled
uFF906	ijo-ante	# ijo ante, scaled
uFF906	ijo+ante	# ijo ante, scaled
uFF906	ijo*ante	# ijo ante, scaled
uFF907	ijo-anu	# ijo anu, scaled
